buildingID,title,poso,plirothike,date_created
111,ΡΕΥΜΑ ENERGY ,57.95,true,2023-04-20 08:33:13.524094 +00:00
111,ΔΙΑΧ/ΚΑ,20.00,true,2023-04-20 08:30:27.099556 +00:00
111,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,40.00,true,2023-04-20 08:30:23.891456 +00:00
111,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,35.00,true,2023-04-20 08:30:20.212442 +00:00
37,ΚΗΠΟΥΡΟΣ,80.00,true,2023-04-20 08:27:36.141612 +00:00
37,ΧΑΛΙ ΕΙΣΟΔΟΥ,16.00,true,2023-04-20 08:25:06.172605 +00:00
37,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,65.00,true,2023-04-20 08:19:32.916167 +00:00
37,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,43.00,true,2023-04-20 08:19:28.584666 +00:00
37,ΔΙΑΧ/ΚΑ,33.00,true,2023-04-20 08:19:23.723938 +00:00
37,ΕΚΔΟΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ,4.00,true,2023-04-20 08:19:19.080511 +00:00
185,ΤΡΑΠΕΖΙΚΑ ΕΞΟΔΑ,1.61,true,2023-04-20 08:12:10.727158 +00:00
185,ΘΕΡΜΑΝΣΗ ΕΩΣ 30/03/2023,112.00,true,2023-04-20 08:09:44.909472 +00:00
185,ΡΥΘΜΙΣΗ ΣΟΥΣΤΑΣ ΚΕΝΤΡΙΚΗΣ ΠΟΡΤΑΣ,15.00,true,2023-04-20 08:06:48.140593 +00:00
185,ΗΛΕΚΤΡΟΛΟΓΟΣ-ΛΑΜΠΕΣ(3),12.00,true,2023-04-20 08:04:31.035193 +00:00
185,ΔΕΥΑΠ 08/09/22-05/01/23,26.00,true,2023-04-20 08:02:47.624286 +00:00
185,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,25.00,true,2023-04-20 07:58:07.112913 +00:00
185,ΔΙΑΧ/ΚΑ,36.00,true,2023-04-20 07:58:00.488058 +00:00
185,ΕΚΔΟΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ,4.00,true,2023-04-20 07:57:56.358616 +00:00
185,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,60.00,true,2023-04-20 07:57:52.613053 +00:00
185,ΚΗΠΟΥΡΟΣ,50.00,true,2023-04-20 07:57:34.545264 +00:00
24,ΘΕΡΜΑΝΣΗ ΕΩΣ 20/04/2023,158.75,true,2023-04-20 07:52:49.658179 +00:00
24,ΧΑΛΙ ΕΙΣΟΔΟΥ ΕΞΩ,16.00,true,2023-04-20 07:50:00.656015 +00:00
24,ΧΑΛΙ ΕΙΣΟΔΟΥ ΜΕΣΑ,15.00,true,2023-04-20 07:49:33.590136 +00:00
24,ΔΕΥΑΠ 08/09/22-05/01/23,15.00,true,2023-04-20 07:48:25.226755 +00:00
24,ΔΕΗ 01/12/22-29/01/23,93.50,true,2023-04-20 07:44:52.521876 +00:00
24,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,40.00,false,2023-04-20 07:43:30.784010 +00:00
24,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,33.00,false,2023-04-20 07:43:27.426357 +00:00
24,ΔΙΑΧ/ΚΑ,21.00,false,2023-04-20 07:43:24.036204 +00:00
24,ΕΚΔΟΣΗ ΚΟΙΝΟΧΡΗΣΤΩΝ,3.00,false,2023-04-20 07:43:14.358513 +00:00
192,ΤΡΑΠΕΖΙΚΑ ΕΞΟΔΑ,0.49,true,2023-04-20 07:39:40.713035 +00:00
192,ΔΕΗ 10/01/23-06/03/23,72.50,true,2023-04-20 07:38:21.494175 +00:00
192,ΑΝΕΛΚΥΣΤΗΡΑΣ-ΤΑΚΤΙΚΗ ΣΥΝΤΗΡΗΣΗ,50.00,false,2023-04-20 07:36:28.839288 +00:00
192,ΚΑΘΑΡΙΣΜΟΣ-ΤΑΚΤΙΚΟΣ,60.00,true,2023-04-20 07:36:24.365199 +00:00
